A,B,result
Combinatorics,Algebra,1
Computation,Statistical_inference,0
Analysis_of_algorithms,Computational_science,1
Lexical_analysis,Software_framework,0
Superscalar,Computer_architecture,1
Support_vector_machine,Python_(programming_language),0
Imperative_programming,Programming_language,1
Array_data_structure,Data_structure,1
Arithmetic,Queue_(data_structure),0
Turing_machine,Theory_of_computation,1
Algorithm,Integer,1
Robot,Markov_process,0
Feature_extraction,Algorithm,1
Computer_animation,Image,1
Foundations_of_mathematics,Public-key_cryptography,0
Programming_language,Computability,1
Stochastic_process,Probability,1
Shortest_path_problem,Flow_network,0
Functional_programming,Computer_science,1
Economics,Relational_database,0
Randomized_algorithm,Social_network,0
System_programming,MATLAB,0
Distributed_computing,Software_design,0
Machine_learning,Computational_complexity_theory,1
Interpolation,Mathematics,1
Formal_language,Discrete_mathematics,1
Tensor,Fast_Fourier_transform,0
Natural_language_processing,Graph_theory,1
Algorithm_design,Analysis_of_algorithms,1
Coding_theory,User_interface,0
Computational_geometry,Computer,1
Automata_theory,Programming_language,0
Computational_chemistry,3D_modeling,0
Computer_programming,Computing,1
Problem_solving,Algorithm,0
Random_walk,Markov_chain,1
Digital_electronics,Network_security,0
Statistical_hypothesis_testing,Statistical_inference,1
Wavelet,Model_checking,0
Database_design,Robotics,0
Data_analysis,Exponential_family,0
Interpolation,3D_modeling,0
Finite_difference,Web_service,0
Parsing,String_(computer_science),1
Embedded_system,Bioinformatics,0
Automated_theorem_proving,PSPACE,0
Compiler,Computer_science,1
Automated_theorem_proving,Mathematical_proof,1
Polymorphism_(computer_science),Knowledge_representation_and_reasoning,0
Fast_Fourier_transform,Computer,0
Analysis_of_algorithms,Probability_theory,1
Information_theory,Quantum_computer,0
Computational_complexity_theory,Message_passing,0
Suffix_tree,String_searching_algorithm,1
Scope_(computer_science),Computer_programming,1
Vector_processor,ML_(programming_language),0
Relational_database,Database_management_system,1
Query_optimization,SQL,1
Relational_database_management_system,Relational_database,1
Monad_(functional_programming),Functional_programming,1
Object-oriented_programming,Computer_programming,1
Computer_security,Mathematics,1
Object-oriented_programming,Structured_programming,1
Algorithm_design,Computer_science,1
Signal_processing,Object_(computer_science),0
Denotational_semantics,Variable_(computer_science),0
User_interface_design,Memory_hierarchy,0
Fixed_point_(mathematics),Mathematics,1
Packet_switching,Computer_network,1
Image_analysis,Software_development,0
Programming_language,Dynamic_programming,0
Symbol_table,Iterative_method,0
NP-complete,Computational_complexity_theory,1
Halting_problem,Turing_machine,1
C_(programming_language),Computing,1
Algebra,Arithmetic,1
Shading,Context-free_grammar,0
Symmetric_multiprocessing,Internet,0
Kalman_filter,System_call,0
Theoretical_computer_science,Computation,1
Correlation_and_dependence,Logic,0
Knowledge_representation_and_reasoning,Algorithm_design,1
Object-oriented_programming,Embedded_system,0
Query_optimization,Finite_difference,0
Motion_planning,Robotics,1
Finite_difference,Boundary_value_problem,1
Markov_process,Conditional_probability,1
Support_vector_machine,Algorithm,1
Computer_programming,Data_structure,1
Database_management_system,Database_transaction,1
Computational_chemistry,Computer_programming,1
Image_processing,Quantum_computer,0
Object_(computer_science),String_(computer_science),0
Algorithm,Routing,0
NP-complete,Calculus_of_variations,0
Graphical_user_interface,Computer,1
Digital_electronics,Programming_language,0
JavaScript,Computer,1
Computer,NP_(complexity),0
C_(programming_language),Computer,1
Assembly_language,Computer,1
Cryptanalysis,Modular_arithmetic,1
User_interface,Computer_programming,1
String_searching_algorithm,Modular_arithmetic,0
Integral,Speech_recognition,0
Ordinary_differential_equation,Semidefinite_programming,0
Cache_coherence,Parallel_computing,1
Monte_Carlo_method,Expected_value,1
Foundations_of_mathematics,Deadlock,0
Quantum_mechanics,Parametric_polymorphism,0
Poisson_distribution,Motion_capture,0
Data_mining,Data,1
Personal_computer,Graph_theory,0
User_interface_design,Quantum_computer,0
Tensor,Markov_process,0
Relational_model,Data_type,1
Cryptography,Probability_theory,1
Artificial_intelligence,Database_normalization,0
Monte_Carlo_method,Query_language,0
Gradient_descent,Algorithm,1
Graph_coloring,Graph_theory,1
Question_answering,Expert_system,1
Hidden_Markov_model,Automated_theorem_proving,0
Database_management_system,Computer_science,1
Undecidable_problem,Algorithm,1
Computer_network,Computer,1
Concurrency_control,Database_management_system,1
Atomicity_(database_systems),Automata_theory,0
Monad_(functional_programming),Computation,1
CPU_cache,Computer_architecture,1
Flow_network,Concurrency_(computer_science),0
Recursively_enumerable_set,Recursion,1
Memory_management,Database_system,0
Scripting_language,Graphics_processing_unit,0
Rendering_(computer_graphics),Memory_hierarchy,0
Database_design,Relational_model,1
Server_(computing),Computer,1
Machine_learning,Computer_programming,1
Information_theory,Probability_theory,1
Robotics,Computer_science,1
Undecidable_problem,Inheritance_(object-oriented_programming),0
Relational_database_management_system,Thread_(computer_science),0
Pattern_recognition,Probability,1
Natural_language_processing,Semantics,1
Computer_animation,Computational_geometry,1
Support_vector_machine,Packet_switching,0
Polymorphism_(computer_science),Gradient_descent,0
Very_long_instruction_word,Computational_problem,0
Firewall_(computing),Computer_science,0
Queue_(data_structure),Mobile_device,0
Computational_complexity_theory,Computational_problem,1
Autonomous_robot,Gradient_descent,0
Question_answering,Semantics_of_programming_languages,0
Information_assurance,Information_security,1
Stochastic_process,Randomization,1
Speech_recognition,Machine_learning,1
JavaScript,Coding_theory,0
Dynamic_programming,Mathematics,1
Algorithm,Problem_solving,1
Exponential_family,Software_framework,0
Concurrency_control,System_call,0
Automated_planning_and_scheduling,Artificial_intelligence,1
Vulnerability_(computing),Coding_theory,0
Hash_table,"Best,_worst_and_average_case",1
Visualization_(computer_graphics),Mathematics,1
Amortized_analysis,Computer_science,1
Differential_equation,Polynomial,0
Concurrency_control,Pushdown_automaton,0
Analysis_of_algorithms,Shared_memory,0
Database_management_system,Relational_algebra,1
Quantum_computer,Procedural_programming,0
Linear_system,Inheritance_(object-oriented_programming),0
String_searching_algorithm,Genetic_algorithm,0
Public-key_cryptography,Discrete_mathematics,1
Divide_and_conquer_algorithm,Recursion,1
Formal_language,Logic,1
Random_graph,Context-free_grammar,0
Algorithm,Foundations_of_mathematics,1
C++,Input/output,0
Concurrent_computing,Newton's_method,0
Data_structure,Data,1
Estimation_theory,Statistical_inference,1
Database_management_system,Mutual_exclusion,0
Visualization_(computer_graphics),Computer_graphics,1
Big_data,Communications_protocol,0
Communications_protocol,Algorithm,1
Turing_machine,Automata_theory,1
Discrete_mathematics,Tensor,0
Regular_language,Newton's_method,0
Discrete_mathematics,Mathematical_proof,1
Structured_programming,Programming_language,1
Lisp_(programming_language),Logic_programming,1
Big_data,Computer_science,1
Continuous_function,Kernel_(computing),0
Data_mining,Database,1
Congestion_control,Computer_network,1
Database_transaction,Computability,0
Discrete_mathematics,Mathematics,1
Quantum_mechanics,Continuous_function,1
CPU_cache,Expert_system,0
Amortized_analysis,Data_structure,1
Context-free_language,Relational_database_management_system,0
Instruction_set,Computational_problem,0
Combinatorics,Finite_set,1
Visualization_(computer_graphics),Geometry,1
Halting_problem,Theory_of_computation,1
Computer_architecture,Computer_science,1
NP_(complexity),Fourier_analysis,0
String_(computer_science),Abstract_data_type,0
Computer_vision,Image_processing,1
Partial_differential_equation,Haskell_(programming_language),0
Server_(computing),Shortest_path_problem,0
Graphics_processing_unit,Security,0
Random_graph,Mathematics,1
Data_type,Scheduling_(computing),0
B-tree,Feature_extraction,0
Operating_system,Computing,1
Parallel_algorithm,Relational_database,0
Virtual_reality,Computer_graphics,1
Calculus,Arithmetic,1
Computational_geometry,Algorithm_design,1
Pattern_matching,Functional_programming,1
Variable_(computer_science),Program_optimization,0
Analysis_of_algorithms,Turing_machine,1
Distributed_algorithms,Continuous_function,0
Approximation_algorithm,Algorithm,1
Time_complexity,Computer_science,1
B-tree,Data_structure,1
Software_engineering,Computer,1
Computational_learning_theory,Parametric_polymorphism,0
Analysis_of_algorithms,Algorithm,1
Cluster_analysis,Computer_science,1
Computer_network,Data,1
Hidden_line_removal,Numerical_analysis,0
Complexity_class,Geometry,0
Rendering_(computer_graphics),Image,0
Assembly_language,Instruction_set,1
Interaction_design,B-tree,0
Software_development,Software_design,1
Computational_problem,Computer_science,1
Digital_signature,Run_time_(program_lifecycle_phase),0
World_Wide_Web,Machine_learning,0
Syntax,Natural_language,1
Decision_theory,Computing,0
Uncertainty,Volume_rendering,0
Vector_processor,Amortized_analysis,0
Distributed_computing,Integral,0
Congestion_control,Syntax,0
Lisp_(programming_language),Recursion_(computer_science),0
Application_software,Computer,1
C_(programming_language),Synchronization,0
Relational_database_management_system,Finite_element_method,0
Java_(programming_language),Algorithm,0
Fast_Fourier_transform,Signal_processing,1
Control_flow,Computer,1
Input/output,Computational_complexity_theory,0
Program_optimization,Spanning_tree,0
Regular_language,Calculus_of_variations,0
Machine_translation,Prolog,0
Autonomous_robot,Robot,1
Transaction_processing,Mathematical_induction,0
Computational_chemistry,Algorithm,1
Vulnerability_(computing),Computer_animation,0
Index_(database),Relational_database,1
Relational_algebra,Object_(computer_science),0
Parsing,Data_structure,1
Memory_management,Flow_network,0
Amortized_analysis,Finite_element_method,0
Automatic_programming,Autonomous_robot,0
Virtual_reality,Interactivity,1
System_programming,Probability,0
Computational_complexity_theory,Mathematics,1
Lexical_analysis,Lexical_semantics,0
Imperative_programming,Information_theory,0
Cryptography,Number_theory,1
Formal_methods,Relational_database_management_system,0
Motion_capture,Tensor,0
Computer_programming,Relational_model,0
Markov_chain,Expected_value,1
Computer_graphics,Computer_programming,1
Computer_science,Foundations_of_mathematics,1
Mathematical_optimization,Probability_theory,0
Encryption,Shared_memory,0
Statistics,Randomness,1
Central_processing_unit,Variable_(computer_science),0
System_call,Interactivity,0
User_interface,Computer,1
Correlation_and_dependence,Bayesian_probability,0
List_of_undecidable_problems,Support_vector_machine,0
Geometric_modeling,Procedural_programming,0
Database_management_system,Big_data,0
Polynomial,Integer,1
Mathematical_induction,Mathematical_proof,1
Linear_system,Matrix_(mathematics),1
Operating_system,Central_processing_unit,1
Control_flow,Server_(computing),0
Assembly_language,Application_software,0
File_system,Computing,1
Complexity_class,Algorithm,1
Relational_database,Relational_model,1
Genetic_algorithm,Computer_science,1
Parallel_computing,Computer_programming,1
Server_(computing),SQL,0
Semantics_of_programming_languages,Programming_language,1
Python_(programming_language),Object-oriented_programming,1
Quantum_cryptography,Regular_expression,0
Very_long_instruction_word,Computer_architecture,1
Lazy_evaluation,Server_(computing),0
World_Wide_Web,Computer_simulation,0
Computational_geometry,Artificial_intelligence,0
Computer_security,Problem_solving,0
Newton's_method,Approximation,1
Linear_programming,Matrix_(mathematics),1
Dynamic_memory_allocation,Probability,0
Autonomous_robot,Motion_planning,1
Concurrency_control,Analysis_of_algorithms,1
Speech_recognition,Computer_science,1
Arithmetic_logic_unit,Digital_electronics,1
Firewall_(computing),Data,1
Internet,Routing,1
Analysis_of_algorithms,Introduction_to_Algorithms,1
C++,Computer_programming,1
Algebra,Software_framework,0
Scheduling_(computing),Operating_system,1
Design_of_experiments,Scientific_visualization,0
Object-oriented_programming,Very_long_instruction_word,0
Compiler_optimization,Assembly_language,1
Statistics,Pattern_matching,0
Neural_network,Pattern_recognition,1
Cryptography,Monte_Carlo_method,0
Randomization,Interface_(computing),0
Network_security,Linear_system,0
Cache_coherence,Shared_memory,1
Geometry,Data_warehouse,0
Formal_methods,Compiler,0
Randomized_algorithm,Algorithm,1
Algorithm,Computation,1
C++,Genetic_algorithm,0
Large_deviations_theory,Parallel_computing,0
Economics,Procedural_programming,0
Graphical_model,Scientific_modelling,1
Finite-state_machine,Central_processing_unit,0
Operating_system,Theory_of_computation,0
Software_design,Programming_language,1
Graph_coloring,Hash_table,0
Functional_programming,Recursion,1
Discrete_mathematics,Interactivity,0
Turing_machine,Flow_network,0
Inequality_(mathematics),Integer,1
PageRank,Abstract_data_type,0
Fourier_analysis,Application_programming_interface,0
Pushdown_automaton,Atomicity_(database_systems),0
Matrix_(mathematics),Kernel_(computing),0
Imperative_programming,Variable_(computer_science),1
Information_theory,Big_data,0
Algorithm_design,Wavelet,0
Scripting_language,Computer_programming,1
Abstract_data_type,Integer,1
Software_testing,Computer_programming,1
Application_programming_interface,Automata_theory,0
Computer_architecture,Run_time_(program_lifecycle_phase),0
Lock_(computer_science),Fourier_analysis,0
Computer_graphics,Computer,1
Introduction_to_Algorithms,Computing,0
Finite_difference,Database_design,0
Programming_paradigm,Neural_network,0
Queue_(data_structure),Array_data_structure,1
Computational_complexity_theory,Discrete_mathematics,1
Analysis_of_algorithms,Computational_complexity_theory,1
Random_walk,Graph_theory,1
Genetic_algorithm,Algorithm,1
Variable_(computer_science),Programming_language,1
Program_analysis,Internet_Protocol_Suite,0
Kinematics,CPU_cache,0
Numerical_analysis,Algorithm,1
Algorithm,Computability,1
Programmer,Programming_language,1
Mathematical_model,Mathematics,1
Machine_learning,Personal_computer,0
Computational_chemistry,Computer_science,1
Machine_learning,Algorithm,1
High-level_programming_language,Computer_graphics,0
NP-complete,Machine_translation,0
Data_warehouse,Variable_(computer_science),0
Peer-to-peer,Natural_language,0
Software_engineering,Object-oriented_programming,1
Algorithm_design,Mathematics,1
Analysis_of_algorithms,Finite_element_method,0
Halting_problem,Concurrency_control,0
Shortest_path_problem,Graph_theory,1
Hidden_Markov_model,Data_structure,0
Unix,Graph_theory,0
Network_security,Computer_network,1
Reason,Hidden_Markov_model,0
String_(computer_science),Computer_programming,1
Cryptography,Mathematics,1
Graphical_user_interface,Congestion_control,0
Markov_chain,Random_variable,1
Spanning_tree,Statistics,0
Malware,Finite-state_machine,0
Shading,Transaction_processing,0
Kalman_filter,Thread_(computer_science),0
Lisp_(programming_language),Scope_(computer_science),1
Computational_geometry,Algorithm,1
B-tree,3D_computer_graphics,0
Digital_electronics,Polynomial,0
Graphical_model,Random_variable,1
Image,Complexity,0
Java_(programming_language),Data_structure,1
Assembly_language,Programming_language,1
Lexical_analysis,Probability_theory,0
Pattern_matching,Integer,0
Data_mining,Artificial_intelligence,1
Information_security,Sparse_matrix,0
Algebra,Mathematics,1
Hidden_Markov_model,Rendering_(computer_graphics),0
Parallel_computing,Computer_science,1
Random_walk,Graph_(mathematics),1
Machine_learning,Statistics,1
Divide_and_conquer_algorithm,Congestion_control,0
Lexical_semantics,Semantics,1
Computer_security,Type_system,0
Image_processing,Computer_programming,1
Database_design,Relational_database,1
Hash_table,Data_(computing),1
Differential_equation,Coding_theory,0
Model_of_computation,Computation,1
Parsing,Python_(programming_language),0
Bayesian_probability,Probability,1
Turing_machine,Control_flow,0
Data_(computing),Web_search_engine,0
Personal_computer,Public-key_cryptography,0
Concurrency_(computer_science),Operating_system,1
Recursion,Algorithm,1
Amortized_analysis,Reinforcement_learning,0
Database_normalization,Motion_planning,0
Recursively_enumerable_set,Robotics,0
Image,PSPACE,0
Recommender_system,Compiler,0
Parallel_computing,P_versus_NP_problem,0
Machine_translation,NP_(complexity),0
Gradient_descent,Asymptotic_analysis,0
Mathematical_model,Authentication,0
Semantics,Dynamic_programming,0
Compiler_optimization,Prediction,0
Digital_signature,Security,0
Recurrence_relation,Mathematics,1
Turing_machine,Mathematics,1
Variable_(computer_science),Computing,0
Cloud_computing,Computer_network,1
Regular_expression,Relational_algebra,0
Semidefinite_programming,Approximation_algorithm,1
Neural_network,Artificial_intelligence,1
JavaScript,World_Wide_Web,1
Machine_learning,Markov_chain,1
Embedded_system,Computer,1
Generic_programming,P_versus_NP_problem,0
Database_design,Database_system,1
JavaScript,Computer_programming,1
Programmer,Computer_programming,1
Lisp_(programming_language),Database,0
Shared_memory,Image_processing,0
Conditional_probability,Analysis_of_algorithms,0
Database_management_system,Kinematics,0
Natural_language_processing,Knowledge_representation_and_reasoning,0
Divide_and_conquer_algorithm,Algorithm_design,1
Big_data,Programmer,0
Algorithm,Mathematics,1
Semantics,Bayesian_network,0
Quantum_computer,Computational_complexity_theory,1
Context-free_grammar,String_(computer_science),1
Modular_programming,Statistical_hypothesis_testing,0
Statistics,Data,1
Martingale_(probability_theory),Dynamic_memory_allocation,0
Automated_theorem_proving,Graph_coloring,0
Probability_theory,Lexical_analysis,0
Semantics,Computer_science,0
Mobile_device,Computer,1
Thread_(computer_science),Scripting_language,0
Decision_theory,Kernel_(computing),0
3D_computer_graphics,Image_processing,1
Floating_point,Computer_multitasking,0
Data_type,Programming_language,1
Run_time_(program_lifecycle_phase),List_of_undecidable_problems,0
Genetic_algorithm,Theoretical_computer_science,0
Round-off_error,Numerical_analysis,1
"Best,_worst_and_average_case",Database_system,0
Formal_methods,Programming_language,0
Scope_(computer_science),Variable_(computer_science),1
String_searching_algorithm,Turing_machine,0
Relational_database,Poisson_distribution,0
Spanning_tree,Graph_theory,1
Large_deviations_theory,Probability_theory,1
Logic_programming,Distributed_algorithms,0
Image_processing,Flow_network,0
Theory_of_computation,Arithmetic,0
Pattern_matching,Superscalar,0
Mathematical_optimization,Lazy_evaluation,0
Perl,Lexical_semantics,0
Memory_hierarchy,Design_of_experiments,0
Microprocessor,Problem_solving,0
Vulnerability_(computing),Software_testing,0
Mathematical_model,Ray_tracing_(graphics),0
Geometric_modeling,Algorithm,1
Sufficient_statistic,Theoretical_computer_science,0
Dynamic_programming,Recursion,1
Computational_problem,Graphical_user_interface,0
Software_development,Computer_science,1
Mathematics,Flow_network,0
Arithmetic_logic_unit,Scope_(computer_science),0
Java_(programming_language),Programming_language,1
Quantum_computer,Computer_science,1
NP_(complexity),Decision_theory,0
3D_modeling,Inference,0
Linear_programming,Mathematical_optimization,1
Functional_programming,Programming_language,1
Internet,Data,0
Lexical_analysis,Regular_expression,1
Analysis_of_algorithms,Computer_programming,1
Pattern_matching,String_(computer_science),1
Wavelet,Flow_network,0
Computer_graphics,Network_security,0
Exponential_family,SQL,0
Game_theory,Mathematical_model,1
Robotics,Mechanical_engineering,1
Mathematical_proof,Computer_science,0
Relational_database_management_system,Database,1
Question_answering,Artificial_intelligence,1
Malware,Authentication,1
Traffic_analysis,Cryptography,1
Kernel_(computing),Operating_system,1
File_system,Prediction,0
Programming_language,Computer_science,1
Network_security,Expected_value,0
Relational_model,Predicate_logic,1
Control_flow,Microcode,0
Computer_graphics,Graphics,1
"Best,_worst_and_average_case",Sparse_matrix,0
Undecidable_problem,Computational_complexity_theory,1
Boundary_value_problem,Garbage_collection_(computer_science),0
Computational_science,Microcode,0
Motion_planning,Lexical_analysis,0
Programming_language,Automata_theory,1
Fast_Fourier_transform,Algorithm,1
Ordinary_differential_equation,Nonlinear_system,1
Programmer,Parallel_algorithm,0
Flow_network,Monad_(functional_programming),0
Query_optimization,Database_management_system,1
Correlation_and_dependence,Data,1
Concurrency_control,Computer_programming,1
Hash_table,Computer_security,0
Parsing,Regular_language,1
Polymorphism_(computer_science),Personal_computer,0
Abstract_data_type,Cryptography,0
Relational_database,Computer_science,1
Design_of_experiments,Signal_processing,0
C_(programming_language),Programming_language,1
Random_variable,Application_programming_interface,0
Monte_Carlo_method,Integral,1
Cryptographic_hash_function,Cryptography,1
String_(computer_science),Data_(computing),1
Visualization_(computer_graphics),Computer_science,0
Software_engineering,Debugging,1
Control_flow,SQL,0
Numerical_analysis,Approximation,1
Motion_planning,Inference,0
String_searching_algorithm,Computer_science,1
Arithmetic_logic_unit,List_of_undecidable_problems,0
Geometry,Matrix_(mathematics),1
Expert_system,Artificial_intelligence,1
Procedural_programming,Least_squares,0
Software_design,Authentication,0
Vector_processor,Regular_language,0
Multi-core_processor,Thread_(computer_science),1
Complexity,Hidden_line_removal,0
Application_programming_interface,Parallel_computing,0
Random_variable,System_programming,0
Imperative_programming,Computer_science,1
Linked_list,Lexical_analysis,0
Memory_management,Mathematical_model,0
Modular_programming,Personal_computer,0
Mathematical_induction,Computational_chemistry,0
Virtual_reality,Formal_verification,0
Social_network,Kalman_filter,0
Computer_graphics,Geometry,1
Algorithm,Combinatorics,1
List_of_undecidable_problems,Computational_problem,1
Iterative_method,Big_data,0
Compiler,Assembly_language,1
Query_optimization,Relational_database,1
Query_optimization,Database,1
CPU_cache,Artificial_intelligence,0
High-level_programming_language,Information_theory,0
Computer_network,Communications_protocol,1
Social_network,Graph_(mathematics),1
Atomicity_(database_systems),Information_assurance,0
Floating_point,Recommender_system,0
Asymptotic_analysis,Debugging,0
Computer_vision,Mathematical_optimization,1
Natural_language_processing,Machine_learning,1
Web_browser,Reinforcement_learning,0
Parametric_polymorphism,Programming_language,1
NP-complete,Communications_protocol,0
Symmetric_multiprocessing,Martingale_(probability_theory),0
Haskell_(programming_language),Computer_programming,1
Calculus_of_variations,Continuous_function,1
Software_development,Computer_programming,1
Java_(programming_language),Software_engineering,0
User_interface_design,User_interface,1
Randomized_algorithm,Randomization,1
Fourier_analysis,Polynomial,1
Web_server,Computer,1
Flow_network,Personal_computer,0
Computational_geometry,Mathematics,1
Malware,Computer_network,1
Calculus,Model_of_computation,0
Stochastic_process,Probability_theory,1
Graphical_model,Kernel_(computing),0
Relational_database,C++,0
Firewall_(computing),Vulnerability_(computing),1
Computer_network,Automated_planning_and_scheduling,0
Denotational_semantics,Programming_language,1
Mathematical_optimization,Integer,1
Concurrency_(computer_science),Computation,1
Prolog,Logic_programming,1
Scientific_visualization,Computer_graphics,1
Functional_programming,Computer_programming,1
Pushdown_automaton,String_(computer_science),1
Stack_(data_structure),Lexical_analysis,0
Computability,Nonlinear_system,0
Polynomial,Mathematics,1
Very_long_instruction_word,Computer_simulation,0
Scheduling_(computing),Computing,1
Graph_theory,Lexical_analysis,0
Software_engineering,Computer_science,1
Randomized_algorithm,Control_flow,0
Parametric_polymorphism,Variable_(computer_science),1
Hidden_line_removal,Algorithm,1
Programming_paradigm,Data_structure,1
Computational_complexity_theory,Polynomial,1
Entropy,Virtual_reality,0
Computer_simulation,Computer_science,1
Performance_tuning,Complexity_class,0
Expected_value,Web_server,0
Wavelet,Web_search_engine,0
Data_(computing),Undecidable_problem,0
Personal_computer,Rendering_(computer_graphics),0
Congestion_control,Pattern_recognition,0
Distributed_algorithms,Algorithm,1
Decision_theory,Statistical_hypothesis_testing,1
Randomized_algorithm,Computational_complexity_theory,1
Routing,Computer_network,1
Very_long_instruction_word,Computer_software,0
Information_assurance,Concurrent_computing,0
Probability,Neural_network,0
Cryptography,Computer_science,1
Virtual_reality,Amortized_analysis,0
Time_complexity,Network_security,0
Routing,Finite_difference,0
Combinatorics,Motion_capture,0
Computer_science,Computer,1
Data_mining,Computer_science,1
Computer_architecture,Telecommunications_network,0
Prolog,Web_server,0
Multiplication,Mathematics,1
Robot,Computation,1
Lexical_analysis,Programming_language,1
Control_flow,Programming_language,1
Large_deviations_theory,Visualization_(computer_graphics),0
Program_analysis,Computer_science,1
Syntax,Design_pattern_(computer_science),0
Query_language,System_programming,0
Randomness,Pattern_matching,0
Memory_management,Combinational_logic,0
Mathematical_optimization,B-tree,0
User_interface,CPU_cache,0
File_system,Algorithm,0
