A,B,result
Discrete_mathematics,Java_(programming_language),0
Artificial_intelligence,Programming_language,1
Linear_system,Monad_(functional_programming),0
Decision_theory,Statistical_inference,1
Relational_database,Estimation_theory,0
Natural_language,Embedded_system,0
Virtual_memory,Memory_hierarchy,1
Interaction_design,Modular_arithmetic,0
Turing_machine,Computation,1
Volume_rendering,Rendering_(computer_graphics),1
Inference,Congestion_control,0
Congestion_control,Finite_element_method,0
Formal_grammar,String_(computer_science),1
Arithmetic,Software_testing,0
Data_mining,Spanning_tree,0
Propositional_calculus,Logic,1
Expert_system,Uncertainty,0
Eigenvalues_and_eigenvectors,Relational_database,0
Transaction_processing,Database_management_system,0
Robotics,Analysis_of_algorithms,1
Processor_register,Lexical_analysis,0
Relational_algebra,Memory_management,0
P_versus_NP_problem,Integer,1
Lexical_analysis,Regular_language,1
Cryptanalysis,Mathematics,1
Programmer,Object_(computer_science),0
Computer_multitasking,Query_optimization,0
Linear_algebra,Continuous_function,0
Garbage_collection_(computer_science),Game_theory,0
Calculus,Algebra,1
Database_normalization,Database,1
JavaScript,Programming_language,1
Integral,Mathematics,1
Instruction_set,Computer_architecture,1
Parsing,Finite-state_machine,1
Randomness,Mathematics,1
Natural_language_processing,HTML,0
Relational_model,Flow_network,0
SQL,Programming_language,1
Computer_architecture,Scientific_modelling,0
Model_of_computation,Computer_science,1
Signal_processing,Probability,1
Internet_Protocol_Suite,Computer_network,1
Deadlock,Geometric_modeling,0
Computer_vision,Analysis_of_algorithms,1
Pushdown_automaton,Web_service,0
Inheritance_(object-oriented_programming),Fast_Fourier_transform,0
Python_(programming_language),Parallel_algorithm,0
OSI_model,Computer_network,1
Computational_complexity_theory,Foundations_of_mathematics,1
Software_design,Computer_programming,1
Communications_protocol,Communication,1
Knowledge_representation_and_reasoning,Finite-state_machine,0
Sufficient_statistic,Robot,0
Neural_network,Amortized_analysis,0
Expected_value,Performance_tuning,0
High-level_programming_language,Computer,1
NP-complete,Algorithm,1
Fourier_analysis,Run_time_(program_lifecycle_phase),0
Regular_expression,Statistical_inference,0
Formal_language,Computer_science,1
Reinforcement_learning,Artificial_intelligence,1
Object-oriented_programming,Abstract_data_type,1
User_interface_design,Polymorphism_(computer_science),0
Superscalar,Multi-core_processor,1
Symmetric_multiprocessing,Garbage_collection_(computer_science),0
Linear_algebra,Polynomial,1
Pushdown_automaton,Automata_theory,1
Genetic_algorithm,Cloud_computing,0
Unsupervised_learning,Random_walk,0
Estimation_theory,Expected_value,1
Analysis_of_algorithms,Computation,1
Random_walk,First-order_logic,0
Cloud_computing,Operating_system,0
Computational_learning_theory,Distributed_computing,0
Formal_methods,Parametric_polymorphism,0
Design_of_experiments,Statistical_hypothesis_testing,1
Database_management_system,Computer,1
Syntax,Game_theory,0
Firewall_(computing),Information_assurance,1
Higher-order_function,Fourier_analysis,0
Denotational_semantics,Congestion_control,0
Neural_network,Document_classification,0
Parallel_algorithm,Computer_science,1
Transaction_processing,Database_management_system,1
Halting_problem,Computability,1
Object-oriented_programming,Big_data,0
Round-off_error,Gradient_descent,0
Lexical_analysis,Formal_grammar,1
Distributed_computing,Operating_system,1
Speech_recognition,Robot,0
P_versus_NP_problem,Dynamic_memory_allocation,0
Programming_paradigm,Differential_equation,0
Sufficient_statistic,Random_variable,1
Monte_Carlo_method,Instruction_set,0
Memory_management,Unsupervised_learning,0
Symbol_table,Newton's_method,0
Operating_system,Communication,0
Computational_geometry,Stochastic,0
Packet_switching,Visualization_(computer_graphics),0
Database_design,Human-computer_interaction,0
Knowledge_representation_and_reasoning,Computer_science,1
Suffix_tree,Programming_language,0
Recursion_(computer_science),Queue_(data_structure),0
Software_testing,Bayesian_probability,0
Data_structure,Data_(computing),1
Software_framework,Control_flow,1
NP-complete,Computer_science,1
Computer_graphics,Data,1
Formal_methods,Autonomous_robot,0
Procedural_programming,Computer_science,1
Dynamic_memory_allocation,Operating_system,1
Computer_graphics,Algorithm,1
ML_(programming_language),Programming_language,1
CPU_cache,Central_processing_unit,1
Artificial_intelligence,Computer_science,1
Malware,Flow_network,0
Dynamic_programming,Introduction_to_Algorithms,1
Finite_set,Mathematics,1
Haskell_(programming_language),Programming_language,1
Scientific_modelling,Rendering_(computer_graphics),0
Functional_programming,Variable_(computer_science),1
Software_development,JavaScript,0
Complexity,Algorithm,1
Newton's_method,Recursively_enumerable_set,0
Context-free_grammar,Mutual_exclusion,0
Parallel_computing,Digital_signature,0
Abstract_data_type,Computer_science,1
List_of_undecidable_problems,Computability,1
Martingale_(probability_theory),Automata_theory,0
Python_(programming_language),Variable_(computer_science),1
Martingale_(probability_theory),Robotics,0
Natural_language_processing,Unsupervised_learning,1
Object-oriented_programming,Programming_language,1
Computer_programming,Computational_complexity_theory,1
Recursion,Logic,1
Distributed_computing,Mutual_exclusion,1
Software_engineering,Theory_of_computation,1
Memory_hierarchy,Computer_vision,0
Communication,Program_analysis,0
Game_theory,Probability_theory,1
Statistics,User_interface,0
High-level_programming_language,Computer_science,1
Propositional_calculus,Automatic_programming,0
Web_service,Inter-process_communication,0
Cryptographic_hash_function,Interactivity,0
Very_long_instruction_word,Assembly_language,0
Arithmetic_logic_unit,Computer,1
Polymorphism_(computer_science),Programming_style,0
Data_analysis,Relational_model,0
Semantics,Prediction,0
Computational_complexity_theory,Integer,1
Security,MATLAB,0
Mobile_device,Atomicity_(database_systems),0
Relational_database,Big_data,0
Relational_model,Database,1
Mathematical_optimization,Linear_algebra,1
Data_analysis,Problem_solving,1
Database,Data,1
Inter-process_communication,Data,1
Computer_software,Computer,1
Type_system,Model_checking,0
Graph_theory,Computational_science,1
Transaction_processing,Computer_programming,1
Peer-to-peer,Control_flow,0
Parametric_polymorphism,Data_type,1
Syntax,Deadlock,0
Information_theory,Conditional_probability,1
Software_design,Computational_science,0
Pipeline_(computing),Fixed_point_(mathematics),0
Java_(programming_language),Computer_programming,1
Digital_signature,Feature_extraction,0
Regular_language,Computability,1
Sequence_alignment,Feature_extraction,0
Compiler_optimization,Cache_coherence,0
Computability,Computer_architecture,0
Pipeline_(computing),Design_of_experiments,0
Analysis_of_algorithms,Asymptotic_analysis,1
Eigenvalues_and_eigenvectors,Matrix_(mathematics),1
Superscalar,Lexical_semantics,0
Scheduling_(computing),Artificial_intelligence,0
C_(programming_language),Computer_programming,1
Exponential_family,Random_variable,1
Compiler,Parsing,1
Artificial_intelligence,Computational_science,1
Fourier_analysis,Inequality_(mathematics),0
Communications_protocol,Synchronization,1
Parallel_computing,Shared_memory,1
Time_complexity,Turing_machine,1
Query_language,Interface_(computing),0
Recommender_system,"Best,_worst_and_average_case",0
Computer_science,Mathematics,1
Geometry,Statistics,0
Randomized_algorithm,Introduction_to_Algorithms,1
Martingale_(probability_theory),Markov_chain,1
Internet,Computer_network,1
Tensor,Superscalar,0
Scheduling_(computing),Problem_solving,0
Economics,Software_testing,0
Lexical_analysis,Finite-state_machine,1
Sentiment_analysis,Machine_learning,1
Robotics,Computer_programming,1
Statistical_hypothesis_testing,Support_vector_machine,0
Theoretical_computer_science,Mathematics,1
Time_complexity,Computational_complexity_theory,1
Java_(programming_language),Stochastic_process,0
Tensor,Mathematics,1
Design_of_experiments,Kernel_(computing),0
NP_(complexity),Computer_science,1
Statistical_inference,Data,1
Query_language,Programming_language,1
Database_system,Database,1
Bayesian_probability,Conditional_probability,1
Coding_theory,Theoretical_computer_science,1
Approximation_algorithm,Computer_science,1
Matrix_(mathematics),Mathematics,1
Superscalar,Lock_(computer_science),0
Boundary_value_problem,System_call,0
Arithmetic_logic_unit,Combinational_logic,1
Quantum_mechanics,Randomness,1
Cryptanalysis,Database_design,0
Inference,Unix,0
Cryptography,Rendering_(computer_graphics),0
Randomized_algorithm,Conditional_probability,1
Lexical_analysis,Stack_(data_structure),0
Matrix_(mathematics),Sufficient_statistic,0
Concurrency_control,Algorithm_design,1
Correlation_and_dependence,Expected_value,1
Neural_network,Algorithm,1
Shared_memory,Martingale_(probability_theory),0
Relational_database,Analysis_of_algorithms,1
Mathematical_proof,Design_pattern_(computer_science),0
Robotics,Software_engineering,1
Decision_theory,Computational_geometry,0
Hidden_Markov_model,Dynamic_programming,1
Graph_theory,Mathematics,1
Compiler_optimization,Context-free_grammar,0
3D_computer_graphics,Algorithm,1
Recursion_(computer_science),Random_walk,0
Firewall_(computing),Network_security,1
Computer_security,Processor_register,0
3D_computer_graphics,Compiler_optimization,0
Microcode,Computer,1
Computer_vision,Algorithm_design,1
Traffic_analysis,Array_data_structure,0
Recursion,Control_flow,1
List_of_undecidable_problems,Congestion_control,0
Introduction_to_Algorithms,Vulnerability_(computing),0
C_(programming_language),Question_answering,0
Unsupervised_learning,Machine_learning,1
Central_processing_unit,Unix,0
Recommender_system,Abstract_data_type,0
Computability,Machine_translation,0
Formal_verification,Computer_science,1
Continuous_function,Suffix_tree,0
Formal_methods,Stochastic_process,0
Stochastic_process,Random_variable,1
Bayesian_network,Conditional_probability,1
Logic_programming,Computer_science,1
Boundary_value_problem,Ordinary_differential_equation,1
MATLAB,Programming_language,1
Iterative_method,Variable_(computer_science),0
Monte_Carlo_method,Algorithm,1
Run_time_(program_lifecycle_phase),Computer_science,1
Linear_programming,Economics,0
Finite_difference,Polynomial,1
Database_transaction,Round-off_error,0
Java_(programming_language),Compiler,1
Web_service,Computer_network,1
Data_structure,Computer_science,1
Cryptanalysis,Information_security,1
Computer_graphics,Personal_computer,1
Computer_graphics,Computer_science,1
Least_squares,Exponential_family,0
Parametric_polymorphism,Complexity,0
Communications_protocol,Round-off_error,0
Inference,OSI_model,0
Scripting_language,Programming_language,1
Computational_science,Java_(programming_language),0
Formal_language,String_(computer_science),1
Database_system,Support_vector_machine,0
Computer_network,Computer_science,1
Microcode,Differential_equation,0
Ray_tracing_(graphics),Markov_chain,0
Denotational_semantics,Computational_chemistry,0
Linked_list,Computer_science,1
Natural_language_processing,Superscalar,0
Software_design,Python_(programming_language),0
Data,Mobile_device,0
Neural_network,Design_pattern_(computer_science),0
Markov_process,Peer-to-peer,0
Symbol_table,Computer_science,1
Object_(computer_science),Computer_science,1
Unsupervised_learning,Network_security,0
Interactivity,"Best,_worst_and_average_case",0
Atomicity_(database_systems),Database,1
Relational_database_management_system,Relational_algebra,1
Ray_tracing_(graphics),Profiling_(computer_programming),0
Bayesian_probability,Data,1
Speech_recognition,Queue_(data_structure),0
Undecidable_problem,JavaScript,0
PageRank,Natural_language,0
Relational_database,Relational_algebra,1
Processor_register,Stack_(data_structure),1
Array_data_structure,Quantum_mechanics,0
Communication,Message_passing,0
Software_engineering,Algorithm,1
Communication,Microprocessor,0
User_interface_design,Floating_point,0
Recursively_enumerable_set,Algorithm,1
Graph_coloring,Expected_value,0
Cloud_computing,Vector_processor,0
Congestion_control,Logic_programming,0
Computer_vision,Statistical_inference,0
Computer_vision,Pattern_recognition,1
PageRank,Expected_value,1
Symmetric_multiprocessing,Variable_(computer_science),0
Computer_animation,Rendering_(computer_graphics),1
Internet_Protocol_Suite,Computer,1
Web_browser,Recursively_enumerable_set,0
Profiling_(computer_programming),B-tree,0
Bioinformatics,Analysis_of_algorithms,1
Hidden_Markov_model,Probability,1
Machine_learning,Mathematical_optimization,1
Social_network,Parsing,0
Wavelet,Signal_processing,1
Propositional_calculus,Kinematics,0
Theory_of_computation,Message_Passing_Interface,0
Undecidable_problem,Software_development,0
Artificial_intelligence,Algorithm,1
Digital_electronics,Problem_solving,0
Transaction_processing,Database,1
Inequality_(mathematics),Mathematics,1
Randomized_algorithm,Natural_language_processing,0
Java_(programming_language),Object-oriented_programming,1
Algorithm,Polynomial,1
Computer_simulation,Wireless_sensor_network,0
Formal_methods,Computer_programming,1
Unsupervised_learning,Robotics,0
Programming_language,Computer,1
String_(computer_science),Computer_multitasking,0
Java_(programming_language),OSI_model,0
Compiler,Programming_language,1
Computer_multitasking,Public-key_cryptography,0
Artificial_intelligence,Data_structure,1
Algorithm,Iterative_method,1
Modular_arithmetic,Kalman_filter,0
Problem_solving,Approximation,0
Malware,Computer_security,1
Reason,Ray_tracing_(graphics),0
Recursion_(computer_science),Programming_language,1
Cryptography,Computational_complexity_theory,1
Communication,Object-oriented_programming,0
NP_(complexity),Approximation_algorithm,0
Personal_computer,Motion_planning,0
Cryptography,Modular_arithmetic,1
Suffix_tree,Database_transaction,0
Software_engineering,Web_browser,0
Computer_science,Bayesian_probability,0
Turing_machine,Finite-state_machine,1
Programmer,Graph_coloring,0
Multi-core_processor,Parallel_computing,1
Natural_language_processing,Computer_science,1
Graphical_model,Probability_theory,1
Scientific_visualization,Newton's_method,0
Machine_learning,Computational_science,1
Network_security,Security,1
Computer_security,Computer,1
Computer_multitasking,Malware,0
Estimation_theory,Probability,1
Polymorphism_(computer_science),Database_management_system,0
Deadlock,Computer_multitasking,1
Number_theory,Ordinary_differential_equation,0
Automata_theory,Data_mining,0
Garbage_collection_(computer_science),Natural_language,0
Polymorphism_(computer_science),Computer_science,0
Computer_vision,Computer_programming,1
Markov_chain,Probability_theory,1
Data_warehouse,MapReduce,0
Operating_system,Probability_theory,0
Computer_programming,Poisson_distribution,0
Data_mining,Scientific_modelling,0
Relational_model,Data,1
Garbage_collection_(computer_science),Automatic_programming,0
Sequence_alignment,Sparse_matrix,0
Data_warehouse,Data,1
Statistics,Mathematics,1
Programming_language,Data_structure,1
Graph_coloring,Dynamic_programming,1
Graphics,Query_language,0
Scalability,Software_design,1
Haskell_(programming_language),Functional_programming,1
Probability_theory,Scientific_modelling,0
System_programming,Operating_system,1
Relational_database_management_system,Relational_model,1
Algorithm_design,Algorithm,1
Analysis_of_algorithms,Combinatorics,1
Index_(database),Motion_capture,0
Database_normalization,Packet_switching,0
Analysis_of_algorithms,Mathematics,1
Graph_theory,Automated_theorem_proving,0
Asymptotic_analysis,Web_server,0
String_searching_algorithm,Algorithm,1
Graphical_user_interface,Communication,0
Bioinformatics,Algorithm,1
Monad_(functional_programming),Input/output,1
Machine_learning,Algorithm_design,1
Graphical_user_interface,Formal_language,0
String_searching_algorithm,Regular_expression,1
Python_(programming_language),Computer,1
Database_management_system,Database,1
Random_graph,Data_type,0
Database_design,Graphical_user_interface,0
Parsing,Programming_language,1
Statistical_inference,Probability,1
Database_system,Lisp_(programming_language),0
Suffix_tree,Knowledge_representation_and_reasoning,0
Natural_language_processing,ML_(programming_language),0
Sequence_alignment,Probability,1
Pushdown_automaton,Computability,1
Software_development,Software_engineering,1
Server_(computing),Nonlinear_system,0
Semantics_of_programming_languages,Rendering_(computer_graphics),0
Random_walk,Time_complexity,0
Graphical_model,Statistical_inference,1
Computer_software,Operating_system,1
String_(computer_science),NP_(complexity),0
Pushdown_automaton,Theory_of_computation,1
Interpolation,Numerical_analysis,1
Algorithm,Computing,1
Quantum_cryptography,Cryptography,1
Computer_simulation,Kinematics,0
Transaction_processing,Computer_science,1
Computer_programming,Synchronization,0
Congestion_control,Security,0
Amortized_analysis,"Best,_worst_and_average_case",1
Automatic_programming,Computer_programming,1
SQL,Database,1
Randomness,Mutual_exclusion,0
Shortest_path_problem,NP-complete,1
Instruction_set,Fixed_point_(mathematics),0
Gradient_descent,Turing_machine,0
Artificial_intelligence,Mathematics,1
System_call,Propositional_calculus,0
Python_(programming_language),Digital_signature,0
Semidefinite_programming,Central_processing_unit,0
Predicate_logic,Foundations_of_mathematics,1
Linear_algebra,Matrix_(mathematics),1
Theoretical_computer_science,Discrete_mathematics,1
Numerical_analysis,Matrix_(mathematics),1
Analysis_of_algorithms,Microprocessor,0
Symbol_table,Compiler,1
Dynamic_programming,Computer_science,1
Imperative_programming,Instruction_set,0
OSI_model,Monte_Carlo_method,0
Inference,Probability,1
Control_flow,Scope_(computer_science),1
Divide_and_conquer_algorithm,Wireless_sensor_network,0
Performance_tuning,Type_system,0
Divide_and_conquer_algorithm,Modular_arithmetic,0
Computer_science,Graph_theory,1
Computer_programming,Computer_science,1
Authentication,Information_security,1
Data_structure,Data_type,1
Formal_grammar,Modular_programming,0
Firewall_(computing),Software_testing,0
Natural_language,Bayesian_network,0
Malware,Functional_programming,0
Computer_vision,Arithmetic,0
Compiler_optimization,Symmetric_multiprocessing,0
Reason,Mathematical_optimization,0
Robotics,Speech_recognition,1
Virtual_memory,Computing,1
Database_design,Peer-to-peer,0
Geometric_modeling,Computational_geometry,1
Flow_network,Ray_tracing_(graphics),0
Congestion_control,B-tree,0
Computational_complexity_theory,Computer_science,1
B-tree,Computer_science,1
Computer_programming,Computational_science,1
Application_software,Semantics,0
Bioinformatics,Bayesian_probability,0
Syntax,Linked_list,0
Haskell_(programming_language),Scope_(computer_science),1
"Best,_worst_and_average_case",Computational_geometry,0
Linear_programming,Graphical_model,0
Compiler,Computer_architecture,1
Graphical_user_interface,Asymptotic_analysis,0
Martingale_(probability_theory),Probability_theory,1
Theoretical_computer_science,Information_theory,0
Turing_machine,Image,0
Symbol_table,Finite_element_method,0
Linear_programming,Finite_set,0
Stochastic_process,Continuous_function,1
Round-off_error,Computer_simulation,0
Object_(computer_science),Scope_(computer_science),0
Wireless_sensor_network,Scientific_visualization,0
Probability_theory,Algebra,1
Python_(programming_language),Assembly_language,0
Queue_(data_structure),Sentiment_analysis,0
Web_browser,Computer,1
Modular_programming,Scope_(computer_science),1
Software_engineering,Computer_programming,1
Stochastic_process,Markov_process,0
Stochastic_process,Randomness,1
First-order_logic,Control_flow,0
Computability,Computer_science,1
Digital_signature,Expected_value,0
Information_security,Large_deviations_theory,0
Sentiment_analysis,Exponential_family,0
Machine_learning,Statistical_inference,1
Decision_theory,Random_variable,1
Probability,Graph_theory,0
Reinforcement_learning,Statistical_hypothesis_testing,0
Profiling_(computer_programming),Algorithm,1
Randomized_algorithm,Random_variable,1
Computer_security,Security,1
Recommender_system,Shortest_path_problem,0
Abstract_data_type,Suffix_tree,0
NP_(complexity),Computational_complexity_theory,1
Monte_Carlo_method,Economics,0
CPU_cache,Performance_tuning,1
Automatic_programming,Game_theory,0
Mathematical_induction,Cloud_computing,0
Wavelet,Computer_science,0
Graphics_processing_unit,Computer_graphics,1
Ordinary_differential_equation,Mathematics,1
Digital_signature,Data_mining,0
Random_variable,Fourier_analysis,0
Performance_tuning,Iterative_method,0
Data_warehouse,Data_structure,1
Modular_arithmetic,NP_(complexity),0
Compiler_optimization,Modular_arithmetic,0
Ordinary_differential_equation,Numerical_analysis,1
Tensor,Mathematics,0
Functional_programming,Generic_programming,1
Support_vector_machine,Firewall_(computing),0
Graphical_model,Machine_learning,1
Cache_coherence,Theory_of_computation,0
Firewall_(computing),Information_security,1
Denotational_semantics,Large_deviations_theory,0
Martingale_(probability_theory),Random_variable,1
Part-of-speech_tagging,Natural_language,1
Digital_electronics,Amortized_analysis,0
ML_(programming_language),Very_long_instruction_word,0
Rendering_(computer_graphics),Mathematics,1
Perl,Compiler,1
Polymorphism_(computer_science),Abstract_data_type,1
Geometric_modeling,Lexical_semantics,0
Recursively_enumerable_set,Finite_set,1
Markov_chain,Traffic_analysis,0
Computer_graphics,Scientific_visualization,0
Hidden_line_removal,Graph_theory,0
Exponential_family,Probability_theory,1
Instruction_set,Software_development,0
Software_engineering,Data_structure,1
Web_server,Operating_system,1
Prolog,Parallel_algorithm,0
Memory_management,Operating_system,1
Fast_Fourier_transform,Inter-process_communication,0
Machine_learning,Expected_value,1
Software_engineering,Stochastic,0
Statistics,Arithmetic,1
Transaction_processing,Software_engineering,0
Artificial_intelligence,Computer,1
Analysis_of_algorithms,Data_(computing),0
Graph_(mathematics),Discrete_mathematics,1
Symmetric_multiprocessing,Database_normalization,0
Model_checking,Mechanical_engineering,0
Machine_translation,Natural_language,1
Machine_translation,Algorithm,1
Multi-core_processor,Game_theory,0
Large_deviations_theory,Random_variable,1
Finite_difference,Numerical_analysis,1
Imperative_programming,Higher-order_function,1
Probability,World_Wide_Web,0
Data_(computing),Communication,0
Abstraction_(computer_science),Computer_science,1
String_(computer_science),Data_structure,1
Artificial_intelligence,Graph_theory,1
Statistical_inference,Random_variable,1
Boundary_value_problem,Iterative_method,0
P_versus_NP_problem,Algorithm,1
Quantum_computer,Theoretical_computer_science,1
Ray_tracing_(graphics),Computer_graphics,1
Complexity_class,Computational_complexity_theory,1
Compiler,Randomized_algorithm,0
Regular_expression,Operating_system,0
Ray_tracing_(graphics),Rendering_(computer_graphics),1
Mathematical_optimization,Random_variable,1
Index_(database),Distributed_computing,0
Inheritance_(object-oriented_programming),Computational_science,0
Linear_system,Mathematical_induction,0
Software_engineering,Computational_complexity_theory,1
Lisp_(programming_language),Programming_language,1
Statistics,System_call,0
Kinematics,Vulnerability_(computing),0
Public-key_cryptography,Traffic_analysis,0
Relational_model,Context-free_grammar,0
Run_time_(program_lifecycle_phase),C_(programming_language),0
Motion_capture,Computer_graphics,1
PageRank,Automata_theory,0
Automated_theorem_proving,Predicate_logic,1
Mutual_exclusion,OSI_model,0
Embedded_system,Program_optimization,0
Security,Telecommunications_network,0
Graphics_processing_unit,Parallel_computing,1
Markov_process,Parallel_algorithm,0
Robot,Information_security,0
User_interface,Programming_paradigm,0
Large_deviations_theory,Software_framework,0
Computational_problem,Complexity,0
Machine_learning,Scripting_language,0
Program_optimization,Algorithm,1
Algorithm,Logic,1
Social_network,Graph_theory,1
Object-oriented_programming,3D_computer_graphics,0
Algorithm,Theoretical_computer_science,1
Very_long_instruction_word,Lisp_(programming_language),0
System_programming,Unix,1
Computational_complexity_theory,Algorithm,1
Correlation_and_dependence,Hidden_Markov_model,0
Parallel_algorithm,Structured_programming,0
Computing,Document_classification,0
Computer_programming,Program_analysis,0
PageRank,Cluster_analysis,0
Formal_verification,Information_assurance,0
Software_testing,Programming_language,1
Relational_database,Database,1
Computational_learning_theory,Probability,1
Inter-process_communication,Operating_system,1
Ray_tracing_(graphics),Message_passing,0
Robot,Artificial_intelligence,1
Finite-state_machine,Theory_of_computation,1
Peer-to-peer,CPU_cache,0
Sparse_matrix,Finite-state_machine,0
Server_(computing),Lazy_evaluation,0
Complexity,Expert_system,0
Mathematics,Lazy_evaluation,0
Computer,Digital_electronics,1
Processor_register,MapReduce,0
Assembly_language,Syntax,1
Partial_differential_equation,Numerical_analysis,1
Ordinary_differential_equation,Hash_table,0
Message_Passing_Interface,Synchronization,1
Mathematical_model,Integer,1
Symmetric_multiprocessing,Firewall_(computing),0
Natural_language,Internet_Protocol_Suite,0
Formal_methods,Analysis_of_algorithms,1
Graphical_user_interface,Computer_science,1
Interface_(computing),Concurrency_(computer_science),0
Image,Concurrent_computing,0
Exponential_family,Markov_chain,0
Relational_database,Graphics,0
Computer_security,Asymptotic_analysis,0
Computational_complexity_theory,Algorithm_design,1
Peer-to-peer,Computer_network,1
Software_testing,Control_flow,1
Graph_theory,Discrete_mathematics,1
Virtual_memory,Computer_architecture,1
Software_framework,Computer_programming,1
Database_normalization,Java_(programming_language),0
Social_network,Web_browser,0
Parallel_algorithm,Parallel_computing,1
Abstraction_(computer_science),Computer_architecture,0
Computer,Arithmetic,1
Central_processing_unit,Computer_architecture,1
